№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
495;Купино;Новосибирская область;Сибирский;15 448;1886
496;Курган;Курганская область;Уральский;333 640;1679
497;Курганинск;Краснодарский край;Южный;47 974;1855
498;Курильск;Сахалинская область;Дальневосточный;2 070;18 век
499;Курлово;Владимирская область;Центральный;6 791;1811
500;Куровское;Московская область;Центральный;21 821;1646
501;Курск;Курская область;Центральный;414 595;1032
502;Куртамыш;Курганская область;Уральский;17 098;1745
503;Курчатов;Курская область;Центральный;42 691;1968
504;Куса;Челябинская область;Уральский;18 792;1778
505;Кушва;Свердловская область;Уральский;33 027;1735
506;Кызыл;Тыва;Сибирский;109 906;1914
507;Кыштым;Челябинская область;Уральский;38 950;1757
508;Кяхта;Бурятия;Сибирский;20 013;1727
509;Лабинск;Краснодарский край;Южный;62 822;1841
510;Лабытнанги;Ямало-Ненецкий АО;Уральский;26 948;1890
511;Лагань;Калмыкия;Южный;14 323;1870
512;Ладушкин;Калининградская область;Северо-Западный;3 788;1314
513;Лаишево;Татарстан;Приволжский;7 735;1557
514;Лакинск;Владимирская область;Центральный;15 707;15 век
515;Лангепас;Ханты-Мансийский АО — Югра;Уральский;41 675;1980
516;Лахденпохья;Карелия;Северо-Западный;7 818;1600
517;Лебедянь;Липецкая область;Центральный;20 991;1605
518;Лениногорск;Татарстан;Приволжский;64 145;1795
519;Ленинск;Волгоградская область;Южный;15 527;1802
520;Ленинск-Кузнецкий;Кемеровская область;Сибирский;101 666;1763
521;Ленск;Якутия;Дальневосточный;24 955;1663
522;Лермонтов;Ставропольский край;Северо-Кавказский;22 540;1953
523;Лесной;Свердловская область;Уральский;52 464;1947
524;Лесозаводск;Приморский край;Дальневосточный;36 975;1932
525;Лесосибирск;Красноярский край;Сибирский;61 146;1975
526;Ливны;Орловская область;Центральный;50 430;1586
527;Ликино-Дулёво;Московская область;Центральный;31 331;1930
528;Липецк;Липецкая область;Центральный;508 124;1703
529;Липки;Тульская область;Центральный;8 741;17 век
530;Лиски;Воронежская область;Центральный;55 864;16 век
531;Лихославль;Тверская область;Центральный;12 259;1624
532;Лобня;Московская область;Центральный;74 350;1902
533;Лодейное Поле;Ленинградская область;Северо-Западный;21 053;1702
534;Лосино-Петровский;Московская область;Центральный;22 550;1708
535;Луга;Ленинградская область;Северо-Западный;36 409;1777
536;Луза;Кировская область;Приволжский;11 262;1899
537;Лукоянов;Нижегородская область;Приволжский;14 949;16 век
538;Луховицы;Московская область;Центральный;29 849;1594
539;Лысково;Нижегородская область;Приволжский;21 882;1410
540;Лысьва;Пермский край;Приволжский;67 712;1785
541;Лыткарино;Московская область;Центральный;55 147;15 век
542;Льгов;Курская область;Центральный;21 452;1152
543;Любань;Ленинградская область;Северо-Западный;4 188;1499
544;Люберцы;Московская область;Центральный;171 978;1623
545;Любим;Ярославская область;Центральный;5 553;1538
546;Людиново;Калужская область;Центральный;40 550;1626
547;Лянтор;Ханты-Мансийский АО — Югра;Уральский;38 922;1932
548;Магадан;Магаданская область;Дальневосточный;95 925;1929
549;Магас;Ингушетия;Северо-Кавказский;2 505;1995
550;Магнитогорск;Челябинская область;Уральский;408 401;1929
551;Майкоп;Адыгея;Южный;144 055;1857
552;Майский;Кабардино-Балкария;Северо-Кавказский;26 755;19 век
553;Макаров;Сахалинская область;Дальневосточный;6 788;1892
554;Макарьев;Костромская область;Центральный;7 114;1439
555;Макушино;Курганская область;Уральский;8 337;1797
556;Малая Вишера;Новгородская область;Северо-Западный;12 461;1843
557;Малгобек;Ингушетия;Северо-Кавказский;31 076;1934
558;Малмыж;Кировская область;Приволжский;8 265;15 век
559;Малоархангельск;Орловская область;Центральный;3 872;17 век
560;Малоярославец;Калужская область;Центральный;30 401;1402
561;Мамадыш;Татарстан;Приволжский;14 432;1391
562;Мамоново;Калининградская область;Северо-Западный;7 757;1301
563;Мантурово;Костромская область;Центральный;17 479;1617
564;Мариинск;Кемеровская область;Сибирский;40 522;1698
565;Мариинский Посад;Чувашия;Приволжский;10 186;1620
566;Маркс;Саратовская область;Приволжский;31 535;1918
567;Махачкала;Дагестан;Северо-Кавказский;577 990;1844
568;Мглин;Брянская область;Центральный;7 916;1387
569;Мегион;Ханты-Мансийский АО — Югра;Уральский;49 471;1810
570;Медвежьегорск;Карелия;Северо-Западный;15 536;1916
571;Медногорск;Оренбургская область;Приволжский;27 253;1933
572;Медынь;Калужская область;Центральный;8 298;1386
573;Межгорье;Башкортостан;Приволжский;17 353;1979
574;Междуреченск;Кемеровская область;Сибирский;101 995;1946
575;Мезень;Архангельская область;Северо-Западный;3 599;16 век
576;Меленки;Владимирская область;Центральный;15 208;18 век
577;Мелеуз;Башкортостан;Приволжский;61 408;18 век
578;Менделеевск;Татарстан;Приволжский;22 075;1868
579;Мензелинск;Татарстан;Приволжский;16 474;1586
580;Мещовск;Калужская область;Центральный;4 101;1238
581;Миасс;Челябинская область;Уральский;151 812;1773
582;Микунь;Коми;Северо-Западный;10 732;1937
583;Миллерово;Ростовская область;Южный;36 493;1786
584;Минеральные Воды;Ставропольский край;Северо-Кавказский;76 715;1878
585;Минусинск;Красноярский край;Сибирский;71 171;1739
586;Миньяр;Челябинская область;Уральский;10 195;1771
587;Мирный;Якутия;Дальневосточный;37 179;1955
588;Мирный;Архангельская область;Северо-Западный;30 259;1957
589;Михайлов;Рязанская область;Центральный;11 783;1137
590;Михайловка;Волгоградская область;Южный;59 153;1762
591;Михайловск;Свердловская область;Уральский;9 215;1805
592;Михайловск;Ставропольский край;Северо-Кавказский;71 018;1784
593;Мичуринск;Тамбовская область;Центральный;98 758;1635
594;Могоча;Забайкальский край;Сибирский;13 228;1910
595;Можайск;Московская область;Центральный;31 388;1231
596;Можга;Удмуртия;Приволжский;47 959;1835
597;Моздок;Северная Осетия - Алания;Северо-Кавказский;38 748;1763
598;Мончегорск;Мурманская область;Северо-Западный;45 381;1937
599;Морозовск;Ростовская область;Южный;27 644;1910
600;Моршанск;Тамбовская область;Центральный;41 550;1623
601;Мосальск;Калужская область;Центральный;4 285;1231
602;Москва;Москва;Центральный;11 514 330;1147
603;Муравленко;Ямало-Ненецкий АО;Уральский;33 401;1984
604;Мураши;Кировская область;Приволжский;6 752;1895
605;Мурманск;Мурманская область;Северо-Западный;307 664;1916
606;Муром;Владимирская область;Центральный;116 078;862
607;Мценск;Орловская область;Центральный;43 216;1146
608;Мыски;Кемеровская область;Сибирский;43 029;1826
609;Мытищи;Московская область;Центральный;173 341;1460
610;Мышкин;Ярославская область;Центральный;5 932;15 век
611;Набережные Челны;Татарстан;Приволжский;513 242;1626
612;Навашино;Нижегородская область;Приволжский;16 413;1957
613;Наволоки;Ивановская область;Центральный;10 207;1775
614;Надым;Ямало-Ненецкий АО;Уральский;46 550;1597
615;Назарово;Красноярский край;Сибирский;52 829;1700
616;Назрань;Ингушетия;Северо-Кавказский;93 357;1781
617;Называевск;Омская область;Сибирский;12 119;1910
618;Нальчик;Кабардино-Балкария;Северо-Кавказский;240 095;1724
619;Нариманов;Астраханская область;Южный;11 386;1963
620;Наро-Фоминск;Московская область;Центральный;64 640;1840
621;Нарткала;Кабардино-Балкария;Северо-Кавказский;31 679;1913
622;Нарьян-Мар;Ненецкий АО;Северо-Западный;21 296;1929
623;Находка;Приморский край;Дальневосточный;159 695;1864
624;Невель;Псковская область;Северо-Западный;16 324;1562
625;Невельск;Сахалинская область;Дальневосточный;11 682;1946
626;Невинномысск;Ставропольский край;Северо-Кавказский;118 351;1825
627;Невьянск;Свердловская область;Уральский;25 147;1701
628;Нелидово;Тверская область;Центральный;22 886;1900
629;Неман;Калининградская область;Северо-Западный;11 794;1277
630;Нерехта;Костромская область;Центральный;22 817;1214
631;Нерчинск;Забайкальский край;Сибирский;14 976;1653
632;Нерюнгри;Якутия;Дальневосточный;61 746;1975
633;Нестеров;Калининградская область;Северо-Западный;4 584;1539
634;Нефтегорск;Самарская область;Приволжский;18 732;1960
635;Нефтекамск;Башкортостан;Приволжский;121 757;1957
636;Нефтекумск;Ставропольский край;Северо-Кавказский;27 700;1958
637;Нефтеюганск;Ханты-Мансийский АО — Югра;Уральский;123 276;1961
638;Нея;Костромская область;Центральный;9 827;1906
639;Нижневартовск;Ханты-Мансийский АО — Югра;Уральский;251 860;1909
640;Нижнекамск;Татарстан;Приволжский;234 108;1961
641;Нижнеудинск;Иркутская область;Сибирский;37 056;1648
642;Нижние Серги;Свердловская область;Уральский;11 217;1743
643;Нижний Ломов;Пензенская область;Приволжский;22 678;1636
644;Нижний Новгород;Нижегородская область;Приволжский;1 250 615;1221
645;Нижний Тагил;Свердловская область;Уральский;361 883;1722
646;Нижняя Салда;Свердловская область;Уральский;17 969;1760
647;Нижняя Тура;Свердловская область;Уральский;21 596;1754
648;Николаевск;Волгоградская область;Южный;15 081;1747
649;Николаевск-на-Амуре;Хабаровский край;Дальневосточный;22 773;1850
650;Никольск;Вологодская область;Северо-Западный;8 515;14 век
651;Никольск;Пензенская область;Приволжский;22 471;1761
652;Никольское;Ленинградская область;Северо-Западный;19 345;1710
653;Новая Ладога;Ленинградская область;Северо-Западный;8 890;1704
654;Новая Ляля;Свердловская область;Уральский;12 400;1903
655;Новоалександровск;Ставропольский край;Северо-Кавказский;26 759;1804
656;Новоалтайск;Алтайский край;Сибирский;73 134;1736
657;Новоаннинский;Волгоградская область;Южный;17 911;1956
658;Нововоронеж;Воронежская область;Центральный;32 635;1957
659;Новодвинск;Архангельская область;Северо-Западный;40 612;1936
660;Новозыбков;Брянская область;Центральный;40 552;1701
661;Новокубанск;Краснодарский край;Южный;34 847;1867
662;Новокузнецк;Кемеровская область;Сибирский;547 885;1618
663;Новокуйбышевск;Самарская область;Приволжский;108 449;1946
664;Новомичуринск;Рязанская область;Центральный;19 309;1968
665;Новомосковск;Тульская область;Центральный;131 227;1930
666;Новопавловск;Ставропольский край;Северо-Кавказский;26 556;1777
667;Новоржев;Псковская область;Северо-Западный;3 695;1777
668;Новороссийск;Краснодарский край;Южный;241 788;1838
669;Новосибирск;Новосибирская область;Сибирский;1 498 921;1893
670;Новосиль;Орловская область;Центральный;3 799;1155
671;Новосокольники;Псковская область;Северо-Западный;8 119;1901
672;Новотроицк;Оренбургская область;Приволжский;97 914;1920
673;Новоузенск;Саратовская область;Приволжский;17 015;1760
674;Новоульяновск;Ульяновская область;Приволжский;16 032;1957
675;Новоуральск;Свердловская область;Уральский;91 813;1941
676;Новохопёрск;Воронежская область;Центральный;6 849;1710
677;Новочебоксарск;Чувашия;Приволжский;124 094;1960
678;Новочеркасск;Ростовская область;Южный;169 039;1805
679;Новошахтинск;Ростовская область;Южный;111 087;1910
680;Новый Оскол;Белгородская область;Центральный;19 530;1647
681;Новый Уренгой;Ямало-Ненецкий АО;Уральский;104 144;1975
682;Ногинск;Московская область;Центральный;99 762;1389
683;Нолинск;Кировская область;Приволжский;9 556;1668
684;Норильск;Красноярский край;Сибирский;175 301;1935
685;Ноябрьск;Ямало-Ненецкий АО;Уральский;110 572;1976
686;Нурлат;Татарстан;Приволжский;32 600;1905
687;Нытва;Пермский край;Приволжский;19 041;1756
688;Нюрба;Якутия;Дальневосточный;10 156;1824
689;Нягань;Ханты-Мансийский АО — Югра;Уральский;54 903;1965
690;Нязепетровск;Челябинская область;Уральский;12 452;1747
691;Няндома;Архангельская область;Северо-Западный;22 354;1898
692;Облучье;Еврейская АО;Дальневосточный;9 379;1911
693;Обнинск;Калужская область;Центральный;104 798;1946
694;Обоянь;Курская область;Центральный;13 562;1639
695;Обь;Новосибирская область;Сибирский;26 137;1934
696;Одинцово;Московская область;Центральный;139 021;1470
697;Озёрск;Калининградская область;Северо-Западный;4 740;1539
698;Озёрск;Челябинская область;Уральский;82 268;1945
699;Озёры;Московская область;Центральный;25 788;1834
700;Октябрьск;Самарская область;Приволжский;27 244;1684
701;Октябрьский;Башкортостан;Приволжский;109 379;1946
702;Окуловка;Новгородская область;Северо-Западный;12 464;1851
703;Олёкминск;Якутия;Дальневосточный;9 487;1635
704;Оленегорск;Мурманская область;Северо-Западный;23 079;1949
705;Олонец;Карелия;Северо-Западный;9 060;1137
706;Омск;Омская область;Сибирский;1 154 000;1716
707;Омутнинск;Кировская область;Приволжский;23 618;1773
708;Онега;Архангельская область;Северо-Западный;21 359;1137
709;Опочка;Псковская область;Северо-Западный;11 601;1414
710;Орёл;Орловская область;Центральный;317 854;1566
711;Оренбург;Оренбургская область;Приволжский;570 329;1743
712;Орехово-Зуево;Московская область;Центральный;120 620;1917
713;Орлов;Кировская область;Приволжский;6 959;1459
714;Орск;Оренбургская область;Приволжский;238 006;1735
715;Оса;Пермский край;Приволжский;22 420;1591
716;Осинники;Кемеровская область;Сибирский;45 997;1926
717;Осташков;Тверская область;Центральный;18 073;14 век
718;Остров;Псковская область;Северо-Западный;21 670;1341
719;Островной;Мурманская область;Северо-Западный;2 177;1611
720;Острогожск;Воронежская область;Центральный;33 842;1652
721;Отрадное;Ленинградская область;Северо-Западный;23 874;1708
722;Отрадный;Самарская область;Приволжский;47 709;1920-е
723;Оха;Сахалинская область;Дальневосточный;23 007;1908
724;Оханск;Пермский край;Приволжский;7 597;1547
725;Очёр;Пермский край;Приволжский;15 003;1759
726;Павлово;Нижегородская область;Приволжский;60 699;1566
727;Павловск;Воронежская область;Центральный;25 126;1709
728;Павловский Посад;Московская область;Центральный;63 771;1328
729;Палласовка;Волгоградская область;Южный;15 984;1907
730;Партизанск;Приморский край;Дальневосточный;38 648;1896
731;Певек;Чукотский АО;Дальневосточный;4 161;1933
732;Пенза;Пензенская область;Приволжский;519 592;1663
733;Первомайск;Нижегородская область;Приволжский;14 567;19 век
734;Первоуральск;Свердловская область;Уральский;149 800;1732
735;Перевоз;Нижегородская область;Приволжский;9 201;16 век
736;Пересвет;Московская область;Центральный;14 142;1948
737;Переславль-Залесский;Ярославская область;Центральный;41 923;1152
738;Пермь;Пермский край;Приволжский;1 000 679;1723
739;Пестово;Новгородская область;Северо-Западный;15 911;1918
740;Петров Вал;Волгоградская область;Южный;13 264;1942
741;Петровск;Саратовская область;Приволжский;31 158;1698
742;Петровск-Забайкальский;Забайкальский край;Сибирский;18 555;1789
743;Петрозаводск;Карелия;Северо-Западный;263 540;1703
744;Петропавловск-Камчатский;Камчатский край;Дальневосточный;179 526;1740
745;Петухово;Курганская область;Уральский;11 291;1779
746;Петушки;Владимирская область;Центральный;15 167;1861
747;Печора;Коми;Северо-Западный;43 458;1940
748;Печоры;Псковская область;Северо-Западный;12 308;1473
749;Пикалёво;Ленинградская область;Северо-Западный;21 567;1620
750;Пионерский;Калининградская область;Северо-Западный;11 017;1254
751;Питкяранта;Карелия;Северо-Западный;11 484;19 век
752;Плавск;Тульская область;Центральный;16 248;1563
753;Пласт;Челябинская область;Уральский;17 344;1940
754;Плёс;Ивановская область;Центральный;2 341;1410
755;Поворино;Воронежская область;Центральный;17 692;1870
756;Подольск;Московская область;Центральный;187 956;1559
757;Подпорожье;Ленинградская область;Северо-Западный;18 729;1936
758;Покачи;Ханты-Мансийский АО — Югра;Уральский;17 053;1984
759;Покров;Владимирская область;Центральный;17 762;1506
760;Покровск;Якутия;Дальневосточный;9 495;1682
761;Полевской;Свердловская область;Уральский;64 316;1718
762;Полесск;Калининградская область;Северо-Западный;7 580;1258
763;Полысаево;Кемеровская область;Сибирский;27 624;1989
764;Полярные Зори;Мурманская область;Северо-Западный;15 106;1968
765;Полярный;Мурманская область;Северо-Западный;17 304;1896
766;Поронайск;Сахалинская область;Дальневосточный;16 461;1869
767;Порхов;Псковская область;Северо-Западный;10 608;1239
768;Похвистнево;Самарская область;Приволжский;28 181;1888
769;Почеп;Брянская область;Центральный;17 933;1447
770;Починок;Смоленская область;Центральный;8 776;1868
771;Пошехонье;Ярославская область;Центральный;6 085;1680
772;Правдинск;Калининградская область;Северо-Западный;4 323;1312
773;Приволжск;Ивановская область;Центральный;16 749;1484
774;Приморск;Калининградская область;Северо-Западный;1 956;1268
775;Приморск;Ленинградская область;Северо-Западный;6 122;1268
776;Приморско-Ахтарск;Краснодарский край;Южный;32 253;1854
777;Приозерск;Ленинградская область;Северо-Западный;18 929;12 век
778;Прокопьевск;Кемеровская область;Сибирский;210 150;1650
779;Пролетарск;Ростовская область;Южный;20 267;17 век
780;Протвино;Московская область;Центральный;37 308;1960
781;Прохладный;Кабардино-Балкария;Северо-Кавказский;59 595;1765
782;Псков;Псковская область;Северо-Западный;203 974;903
783;Пугачёв;Саратовская область;Приволжский;41 705;1764
784;Пудож;Карелия;Северо-Западный;9 698;1382
785;Пустошка;Псковская область;Северо-Западный;4 619;1901
786;Пучеж;Ивановская область;Центральный;8 583;1594
787;Пушкино;Московская область;Центральный;102 840;1499
788;Пущино;Московская область;Центральный;20 263;1956
789;Пыталово;Псковская область;Северо-Западный;5 826;1782
790;Пыть-Ях;Ханты-Мансийский АО — Югра;Уральский;41 453;1968
791;Пятигорск;Ставропольский край;Северо-Кавказский;142 397;1780
792;Радужный;Владимирская область;Центральный;18 212;1971
793;Радужный;Ханты-Мансийский АО — Югра;Уральский;43 394;1973
794;Райчихинск;Амурская область;Дальневосточный;20 499;1932
795;Раменское;Московская область;Центральный;96 355;1378
796;Рассказово;Тамбовская область;Центральный;45 484;1698
797;Ревда;Свердловская область;Уральский;61 713;1734
798;Реж;Свердловская область;Уральский;38 709;1773
799;Реутов;Московская область;Центральный;87 195;15 век
800;Ржев;Тверская область;Центральный;62 026;1216
801;Родники;Ивановская область;Центральный;26 318;1606
802;Рославль;Смоленская область;Центральный;54 898;1137
803;Россошь;Воронежская область;Центральный;62 865;17 век
804;Ростов-на-Дону;Ростовская область;Южный;1 091 544;1749
805;Ростов;Ярославская область;Центральный;31 791;862
806;Рошаль;Московская область;Центральный;21 265;1916
807;Ртищево;Саратовская область;Приволжский;41 295;1666
808;Рубцовск;Алтайский край;Сибирский;146 386;1892
809;Рудня;Смоленская область;Центральный;10 029;1363
810;Руза;Московская область;Центральный;13 495;1328
811;Рузаевка;Мордовия;Приволжский;47 529;1631
812;Рыбинск;Ярославская область;Центральный;200 771;1071
813;Рыбное;Рязанская область;Центральный;18 378;1597
814;Рыльск;Курская область;Центральный;15 667;1152
815;Ряжск;Рязанская область;Центральный;21 676;1502
816;Рязань;Рязанская область;Центральный;525 062;1095
817;Саки;Крым;Южный;23 400;1952
818;Салават;Башкортостан;Приволжский;156 085;1948
819;Салаир;Кемеровская область;Сибирский;8 263;1626
820;Салехард;Ямало-Ненецкий АО;Уральский;42 494;1595
821;Сальск;Ростовская область;Южный;61 312;1812
822;Самара;Самарская область;Приволжский;1 164 900;1586
823;Санкт-Петербург;Санкт-Петербург;Северо-Западный;4 848 742;1703
824;Саранск;Мордовия;Приволжский;297 425;1641
825;Сарапул;Удмуртия;Приволжский;101 390;1621
826;Саратов;Саратовская область;Приволжский;836 900;1590
827;Саров;Нижегородская область;Приволжский;92 073;1691
828;Сасово;Рязанская область;Центральный;28 117;1642
829;Сатка;Челябинская область;Уральский;45 465;1758
830;Сафоново;Смоленская область;Центральный;46 116;1859
831;Саяногорск;Хакасия;Сибирский;49 889;1975
832;Саянск;Иркутская область;Сибирский;40 786;1970
833;Светлогорск;Калининградская область;Северо-Западный;10 775;1258
834;Светлоград;Ставропольский край;Северо-Кавказский;38 520;1786
835;Светлый;Калининградская область;Северо-Западный;21 380;1640
836;Светогорск;Ленинградская область;Северо-Западный;15 973;1887
837;Свирск;Иркутская область;Сибирский;13 649;19 век
838;Свободный;Амурская область;Дальневосточный;58 594;1912
839;Себеж;Псковская область;Северо-Западный;6 375;1414
840;Севастополь;Севастополь;Южный;344 479;1783
841;Северо-Курильск;Сахалинская область;Дальневосточный;2 381;1875
842;Северобайкальск;Бурятия;Сибирский;23 673;1974
843;Северодвинск;Архангельская область;Северо-Западный;192 265;1936
844;Североморск;Мурманская область;Северо-Западный;50 076;1896
845;Североуральск;Свердловская область;Уральский;29 279;1758
846;Северск;Томская область;Сибирский;108 466;1949
847;Севск;Брянская область;Центральный;7 282;1146
848;Сегежа;Карелия;Северо-Западный;29 660;1914
849;Сельцо;Брянская область;Центральный;17 933;1870-е
850;Семёнов;Нижегородская область;Приволжский;24 472;1644
851;Семикаракорск;Ростовская область;Южный;23 884;1672
852;Семилуки;Воронежская область;Центральный;26 025;1615
853;Сенгилей;Ульяновская область;Приволжский;6 959;1666
854;Серафимович;Волгоградская область;Южный;9 368;1589
855;Сергач;Нижегородская область;Приволжский;21 387;1649
856;Сергиев Посад;Московская область;Центральный;110 878;1337
857;Сердобск;Пензенская область;Приволжский;35 393;1698
858;Серов;Свердловская область;Уральский;99 381;1893
859;Серпухов;Московская область;Центральный;126 496;1339
860;Сертолово;Ленинградская область;Северо-Западный;47 854;1936
861;Сибай;Башкортостан;Приволжский;62 732;1913
862;Сим;Челябинская область;Уральский;14 465;1759
863;Симферополь;Крым;Южный;362 366;1784
864;Сковородино;Амурская область;Дальневосточный;9 561;1908
865;Скопин;Рязанская область;Центральный;30 374;1676
866;Славгород;Алтайский край;Сибирский;30 370;1910
867;Славск;Калининградская область;Северо-Западный;4 614;1292
868;Славянск-на-Кубани;Краснодарский край;Южный;63 768;1865
869;Сланцы;Ленинградская область;Северо-Западный;33 587;1934
870;Слободской;Кировская область;Приволжский;33 983;1505
871;Слюдянка;Иркутская область;Сибирский;18 542;1899
872;Смоленск;Смоленская область;Центральный;326 863;863
873;Снежинск;Челябинская область;Уральский;48 896;1957
874;Снежногорск;Мурманская область;Северо-Западный;12 698;1970
875;Собинка;Владимирская область;Центральный;19 482;1858
876;Советск;Калининградская область;Северо-Западный;41 709;1288
877;Советск;Кировская область;Приволжский;16 592;12 век
878;Советск;Тульская область;Центральный;7 537;1949
879;Советская Гавань;Хабаровский край;Дальневосточный;27 712;1853
880;Советский;Ханты-Мансийский АО — Югра;Уральский;26 434;1963
881;Сокол;Вологодская область;Северо-Западный;38 454;1615
882;Солигалич;Костромская область;Центральный;6 438;1335
883;Соликамск;Пермский край;Приволжский;97 239;1430
884;Солнечногорск;Московская область;Центральный;52 996;18 век
885;Соль-Илецк;Оренбургская область;Приволжский;26 308;1754
886;Сольвычегодск;Архангельская область;Северо-Западный;2 460;14 век
887;Сольцы;Новгородская область;Северо-Западный;10 317;1390
888;Сорочинск;Оренбургская область;Приволжский;30 136;1737
889;Сорск;Хакасия;Сибирский;12 140;1940-е
890;Сортавала;Карелия;Северо-Западный;19 215;1468
891;Сосенский;Калужская область;Центральный;12 394;1952
892;Сосновка;Кировская область;Приволжский;11 960;1699
893;Сосновоборск;Красноярский край;Сибирский;33 090;1971
894;Сосновый Бор;Ленинградская область;Северо-Западный;65 901;1958
895;Сосногорск;Коми;Северо-Западный;27 809;1939
896;Сочи;Краснодарский край;Южный;343 285;1838
897;Спас-Деменск;Калужская область;Центральный;4 904;1446
898;Спас-Клепики;Рязанская область;Центральный;5 917;16 век
899;Спасск;Пензенская область;Приволжский;7 442;17 век
900;Спасск-Дальний;Приморский край;Дальневосточный;44 166;1886
901;Спасск-Рязанский;Рязанская область;Центральный;7 745;1629
902;Среднеколымск;Якутия;Дальневосточный;3 525;1643
903;Среднеуральск;Свердловская область;Уральский;20 357;1931
904;Сретенск;Забайкальский край;Сибирский;6 850;1689
905;Ставрополь;Ставропольский край;Северо-Кавказский;398 266;1777
906;Старая Купавна;Московская область;Центральный;21 859;14 век
907;Старая Русса;Новгородская область;Северо-Западный;32 235;1167
908;Старица;Тверская область;Центральный;8 610;1297
909;Стародуб;Брянская область;Центральный;19 010;1080
910;Старый Крым;Крым;Южный;9 485;13 век
911;Старый Оскол;Белгородская область;Центральный;221 163;1593
912;Стерлитамак;Башкортостан;Приволжский;273 432;1766
913;Стрежевой;Томская область;Сибирский;42 216;1966
914;Строитель;Белгородская область;Центральный;23 933;1958
915;Струнино;Владимирская область;Центральный;14 372;1492
916;Ступино;Московская область;Центральный;66 942;1938
917;Суворов;Тульская область;Центральный;18 975;1949
918;Судак;Крым;Южный;15 368;212
919;Суджа;Курская область;Центральный;6 036;16 век
920;Судогда;Владимирская область;Центральный;11 848;1552
921;Суздаль;Владимирская область;Центральный;10 535;999
922;Суоярви;Карелия;Северо-Западный;9 763;16 век
923;Сураж;Брянская область;Центральный;11 640;17 век
924;Сургут;Ханты-Мансийский АО — Югра;Уральский;306 703;1594
925;Суровикино;Волгоградская область;Южный;20 527;1744
926;Сурск;Пензенская область;Приволжский;7 032;1849
927;Сусуман;Магаданская область;Дальневосточный;5 865;1938
928;Сухиничи;Калужская область;Центральный;16 295;18 век
929;Сухой Лог;Свердловская область;Уральский;34 836;1710
930;Сызрань;Самарская область;Приволжский;178 773;1683
931;Сыктывкар;Коми;Северо-Западный;235 006;1780
932;Сысерть;Свердловская область;Уральский;20 594;1732
933;Сычёвка;Смоленская область;Центральный;8 111;1488
934;Сясьстрой;Ленинградская область;Северо-Западный;13 747;1926
935;Тавда;Свердловская область;Уральский;35 421;1910
936;Таганрог;Ростовская область;Южный;257 692;1698
937;Тайга;Кемеровская область;Сибирский;25 330;1896
938;Тайшет;Иркутская область;Сибирский;35 481;1897
939;Талдом;Московская область;Центральный;13 819;1929
940;Талица;Свердловская область;Уральский;18 339;1732
941;Тамбов;Тамбовская область;Центральный;280 457;1636
942;Тара;Омская область;Сибирский;26 664;1594
943;Тарко-Сале;Ямало-Ненецкий АО;Уральский;20 372;1932
944;Таруса;Калужская область;Центральный;9 656;1246
945;Татарск;Новосибирская область;Сибирский;26 114;1894
946;Таштагол;Кемеровская область;Сибирский;23 114;1939
947;Тверь;Тверская область;Центральный;403 726;1135
948;Теберда;Карачаево-Черкесия;Северо-Кавказский;9 097;1868
949;Тейково;Ивановская область;Центральный;34 993;17 век
950;Темников;Мордовия;Приволжский;7 247;12 век
951;Темрюк;Краснодарский край;Южный;38 014;1860
952;Терек;Кабардино-Балкария;Северо-Кавказский;19 170;1876
953;Тетюши;Татарстан;Приволжский;11 596;1578
954;Тимашёвск;Краснодарский край;Южный;53 921;1794
955;Тихвин;Ленинградская область;Северо-Западный;58 843;1383
956;Тихорецк;Краснодарский край;Южный;61 825;1895
957;Тобольск;Тюменская область;Уральский;99 698;1587
958;Тогучин;Новосибирская область;Сибирский;21 531;1867
959;Тольятти;Самарская область;Приволжский;719 484;1737
960;Томари;Сахалинская область;Дальневосточный;4 537;1870
961;Томмот;Якутия;Дальневосточный;8 054;1923
962;Томск;Томская область;Сибирский;522 940;1604
963;Топки;Кемеровская область;Сибирский;28 642;1914
964;Торжок;Тверская область;Центральный;47 702;9-10 века
965;Торопец;Тверская область;Центральный;13 018;1074
966;Тосно;Ленинградская область;Северо-Западный;39 127;1500
967;Тотьма;Вологодская область;Северо-Западный;9 784;1137
968;Трёхгорный;Челябинская область;Уральский;33 678;1952
969;Троицк;Челябинская область;Уральский;78 637;1743
970;Трубчевск;Брянская область;Центральный;15 014;975
971;Туапсе;Краснодарский край;Южный;63 233;1838
972;Туймазы;Башкортостан;Приволжский;66 849;1912
973;Тула;Тульская область;Центральный;501 129;1146
974;Тулун;Иркутская область;Сибирский;44 603;1735
975;Туран;Тыва;Сибирский;4 988;1885
976;Туринск;Свердловская область;Уральский;17 990;1600
977;Тутаев;Ярославская область;Центральный;41 001;13 век
978;Тында;Амурская область;Дальневосточный;35 574;1907
979;Тырныауз;Кабардино-Балкария;Северо-Кавказский;21 000;1934
980;Тюкалинск;Омская область;Сибирский;12 050;1759
981;Тюмень;Тюменская область;Уральский;581 758;1586
982;Уварово;Тамбовская область;Центральный;26 829;1699
983;Циолковский;Амурская область;Дальневосточный;6 208;1961
984;Углегорск;Сахалинская область;Дальневосточный;11 880;20 век
985;Углич;Ярославская область;Центральный;34 505;1148
986;Удачный;Якутия;Дальневосточный;12 611;1967
