№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
114;Боготол;Красноярский край;Сибирский;21 029;1893
115;Богучар;Воронежская область;Центральный;11 811;1704
116;Бодайбо;Иркутская область;Сибирский;15 331;1864
117;Бокситогорск;Ленинградская область;Северо-Западный;16 593;1929
118;Болгар;Татарстан;Приволжский;8 650;1781
119;Бологое;Тверская область;Центральный;23 499;1495
120;Болотное;Новосибирская область;Сибирский;16 969;1805
121;Болохово;Тульская область;Центральный;9 619;16 век
122;Болхов;Орловская область;Центральный;11 421;1196
123;Большой Камень;Приморский край;Дальневосточный;39 257;1947
124;Бор;Нижегородская область;Приволжский;78 079;14 век
125;Борзя;Забайкальский край;Сибирский;31 376;1899
126;Борисоглебск;Воронежская область;Центральный;65 585;1698
127;Боровичи;Новгородская область;Северо-Западный;54 731;15 век
128;Боровск;Калужская область;Центральный;12 283;1358
129;Бородино;Красноярский край;Сибирский;17 423;1949
130;Братск;Иркутская область;Сибирский;246 348;1631
131;Бронницы;Московская область;Центральный;21 102;1453
132;Брянск;Брянская область;Центральный;415 640;985
133;Бугульма;Татарстан;Приволжский;89 144;1736
134;Бугуруслан;Оренбургская область;Приволжский;52 249;1748
135;Будённовск;Ставропольский край;Северо-Кавказский;64 628;1799
136;Бузулук;Оренбургская область;Приволжский;82 816;1736
137;Буинск;Татарстан;Приволжский;20 342;1691
138;Буй;Костромская область;Центральный;25 763;1536
139;Буйнакск;Дагестан;Северо-Кавказский;65 735;1834
140;Бутурлиновка;Воронежская область;Центральный;27 208;1740
141;Валдай;Новгородская область;Северо-Западный;16 099;15 век
142;Валуйки;Белгородская область;Центральный;35 322;1593
143;Велиж;Смоленская область;Центральный;7 620;1536
144;Великие Луки;Псковская область;Северо-Западный;98 778;1166
145;Великий Новгород;Новгородская область;Северо-Западный;218 724;8—9 века
146;Великий Устюг;Вологодская область;Северо-Западный;31 664;1147
147;Вельск;Архангельская область;Северо-Западный;23 885;1137
148;Венёв;Тульская область;Центральный;15 220;1371
149;Верещагино;Пермский край;Приволжский;22 760;1898
